disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,861790,Wokingham Borough Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,County / Province,Town,178.98,21-30%,177500,2021,189925,2030,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,862419,Sumbawa Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Federal district,6655.917,61-70%,536597,2024,571175,2029,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,862480,Ibarra,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,1162.22,91-100%,217469,2022,200676,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,862504,Posadas,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,324,I do not have this data,310517,2022,334962,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,862505,Cheltenham Borough Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,County / Province,No lower level of government,46.61,11-20%,120000,2024,135300.0,2030,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,862520,Surrey County Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,National,City / Municipality,1663.0,61-70%,1203108.0,2021,1227467.0,2043,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,862673,"City of Selkirk, MB",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,24.87,61-70%,10504.0,2021,13860.0,2050,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,862760,"City of Oxford, OH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,17.3,61-70%,23000.0,2020,25000.0,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,862814,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",City,Europe,Ireland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,County / Province,7194.0,61-70%,456228,2022,569828.0,2050,EUR Euro,
2025 Disclosure Cycle,779465,CDP,862909,"Blaine County, ID",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,City / Municipality,6891.96,81-90%,24866,2022,25881,2029,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,862932,"Superior, CO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Town,County / Province,No lower level of government,10.3,31-40%,13292.0,2020,18601.0,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,862946,Manta,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Gobierno Parroquial,290.5,61-70%,271078,2022,312609,2033,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,862948,Municipalidad de Sucre,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,2.85,41-50%,61000,2024,62000,2026,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,862949,Latacunga,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: GAD Parroquial,2649,21-30%,217261,2022,255668,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,862953,"District of North Vancouver, BC",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Other: Regional District,No lower level of government,160.66,61-70%,88168,2021,122260,2050,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,862999,Prefeitura de Ouro Preto,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,1245.86,61-70%,74821,2022,77601,2026,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,863000,Lo Barnechea,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,104439.0,91-100%,129790.0,2023,137425.0,2030,CLP Chilean Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,863190,Renca,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,24.2,51-60%,163102,2024,163722.0,2035,CLP Chilean Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,863201,Sanggau Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: regency,12452554,61-70%,510410,2024,520000,2026,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,863202,Trenggalek Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Federal district,1261.4,5-10%,758000,2024,758000,2026,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,863205,Gorontalo Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,1751.0,<5%,423981,2024,448330.0,2035,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,863206,Langsa City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,Town,238.38,5-10%,182620,2024,2025,2026,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,863224,East Central Florida Regional Planning Council,City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,"Other: The East Central Florida Regional Planning Council is a council of governments that represents 8 counties and 78 cities including Brevard, Lake, Marion, Orange, Osceola, Seminole, Sumter, and Volusia Counties.",Other: State. The ECFRPC is a state-statute created regional planning council that developed a regional GHG inventory on behalf of our member governments and aggregated to the regional total.,County / Province,24000,31-40%,4714011,2024,6063800,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,863405,"City of Boca Raton, FL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,81.81,21-30%,102238,2024,105387.0,2040,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,863407,"Town of Durham, NH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,58.01,61-70%,15539.0,2021,17685.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,863412,"City of Tumwater, WA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,37.5289,21-30%,25350.0,2020,36900.0,2045,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,863419,"Town of New Glasgow, NS",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,10,21-30%,9471,2021,9815,2027,CAD Canadian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,863469,San Bernardo,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,154.8,41-50%,306371,2024,348640,2026,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,863470,Lago Agrio (Nueva Loja),City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,,3151.26,41-50%,105044,2022,130300,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,863533,San Antonio,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,405,I do not have this data,96770,2024,98992,2026,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,866887,"City of Bexley, OH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,3.9267,I do not have this data,13928.0,2020,14000.0,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,866890,"City of Prairie Village, KS",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,10.0101,<5%,22937,2023,22343,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,866900,Delicias,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,534900,41-50%,150506,2020,153064,2030,MXN Mexican Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,866901,Prefeitura de São Sepé,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,2204.779,I do not have this data,21219,2022,,,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,867322,Prefeitura de Itabirito,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Sovereign city-state,No lower level of government,544.027,61-70%,53365,2022,55887,,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,867355,Junagadh,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,57.16,11-20%,319462,2011,,2050,INR Indian Rupee,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,884005,Dhaka South City,City,India,Bangladesh,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,109.251,11-20%,4299345.0,2022,7492439.0,2050,BDT Bangladeshi Taka,
2025 Disclosure Cycle,779465,CDP,891125,Prefeitura de Aracruz,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,County / Province,1420285,21-30%,94765,2022,112519,2036,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,891180,Prefeitura de Serra,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Independent city / municipality,Metropolitan area,547.6,31-40%,520,2022,580,2026,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,894049,San José de la Esquina,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,County / Province,220,<5%,8500,2022,10000,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,895257,Prefeitura de Barcarena,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1310.338,71-80%,139076,2025,150000,2030,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,895653,North Minahasa,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,995549,11-20%,226915.0,2021,261082.0,2030,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,895654,Segamat,City,South East Asia & Oceania,Malaysia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1416,61-70%,155352.0,2020,159871.0,2030,MYR Malaysian Ringgit,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,895655,Dhankuta,City,India,Nepal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Special city / municipality,,110,<5%,36619,2021,45500,2030,NPR Nepalese Rupee,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,895681,Majlis Bandaraya Iskandar Puteri,City,South East Asia & Oceania,Malaysia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,402.0,5-10%,580944.0,2020,771100.0,2030,MYR Malaysian Ringgit,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,895694,Municipalidad de Quilicura,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,58,21-30%,210410,2017,276000,2026,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,895969,Prefeitura de Balneário Pinhal,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,102386,I do not have this data,14955,2022,15413,2026,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,896058,Prefeitura de Cruzeiro do Sul - RS,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,157.955,,,,,,,
2025 Disclosure Cycle,779465,CDP,900978,Manzanillo,City,Latin America,Cuba,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,County / Province,500,<5%,131533,,,,,
2025 Disclosure Cycle,779465,CDP,917883,Brecon Beacons National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park Authority,County / Province,Town,1345,61-70%,33605,2022,35535,2035,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,917886,Broxtowe Borough Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,County / Province,Town,81.08,41-50%,110940,2021,126513,2043,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,917927,North Yorkshire Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,National,Town,8654,21-30%,618586,2020,648108,2040,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,917931,Region of Powys,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,National,City / Municipality,5195.5,31-40%,133200,2021,133927,2043,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,918239,City of Reșița,City,Europe,Romania,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,197.65,11-20%,58393,2021,84000,2028,EUR Euro,
2025 Disclosure Cycle,779465,CDP,918254,Skellefteå Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,10021,,76406,2025,90000,2030,SEK Swedish Krona,
2025 Disclosure Cycle,779465,CDP,918264,Municipality of Ilion,City,Europe,Greece,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,8.25,11-20%,84004,2021,81649,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,918283,Municipality of Katerini,City,Europe,Greece,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,County / Province,682.4,81-90%,82892,2021,90000,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,918366,City of Gradiška,City,Europe,Bosnia and Herzegovina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,762.27,71-80%,49196,2013,51000,2040,BAM Convertible Marks,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,918430,Municipality of Athienou,City,Europe,Cyprus,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,85,<5%,5202,2021,5200,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,918783,City of Békéscsaba,City,Europe,Hungary,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,193.9,71-80%,55455,2022,50800,2030,HUF Forint,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,918804,City of Budaörs,City,Europe,Hungary,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,23.6,31-40%,29200,2024,32000,2030,HUF Forint,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,918805,City of Ajka,City,Europe,Hungary,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,95.03,71-80%,26408,2024,25000,2030,HUF Forint,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,919095,City of London (City),City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Independent city / municipality,City/Municipality,No lower level of government,3.1527,21-30%,8600,2021,9500,2040,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,919723,Alvesta Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1075,61-70%,19816,2025,19903,2034,SEK Swedish Krona,
2025 Disclosure Cycle,779465,CDP,919724,Gällivare Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,16819.0,91-100%,17233,2024,20000.0,2030,SEK Swedish Krona,
2025 Disclosure Cycle,779465,CDP,919730,Lambeth Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,National,No lower level of government,26.82,31-40%,317700,2021,,,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,923490,Frutillar,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,848,91-100%,19963,2017,22700,2026,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,924780,City of Butuan,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,826.86,I do not have this data,385530,2024,404410,2030,PHP Philippine Peso,
2025 Disclosure Cycle,779465,CDP,924872,"Colón, Entre Rios",City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,138,I do not have this data,31521,2022,406089,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,929491,Municipalidad de San Lucas Sacatepéquez,City,Latin America,Guatemala,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,Special city / municipality,24.5,71-80%,28819.0,2021,31000.0,2026,GTQ Quetzal,CRF Complete level
2025 Disclosure Cycle,779465,CDP,929501,Algarrobo,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,176,51-60%,16076,2024,16076,2026,CLP Chilean Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,929627,Lima Puluh Kota Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,3354.3,21-30%,385634.0,2020,783277,2030,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,929630,Pasaman Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,3947.63,<5%,318080,2024,327770,2026,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,929965,Çorlu Belediyesi,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,County / Province,County / Province,531,11-20%,300296,2024,314000,2026,TRY New Turkish Lira,
2025 Disclosure Cycle,779465,CDP,929994,Uskudar Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,City/Municipality,Sub-municipal district,35.7,21-30%,512981,2024,537000,2050,TRY New Turkish Lira,CRF Complete level
2025 Disclosure Cycle,779465,CDP,930073,Quang Binh Province,City,South East Asia & Oceania,Viet Nam,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,National,Other: Rural districts and towns,7998.76,81-90%,924757,2024,960000,2030,VND Vietnamese đồng,
2025 Disclosure Cycle,779465,CDP,930236,Municipio Manuel Plácido Maneiro,City,Latin America,Venezuela (Bolivarian Republic of),Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Local government area within a greater metropolitan area,38.0,71-80%,70102.0,2023,90618.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,930247,Prefeitura de Carinhanha,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,2525.906,31-40%,28869.0,2020,29000.0,2026,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,930248,Prefeitura de Jandaíra,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,County / Province,442.754,61-70%,6562,2022,6748,,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,930254,Thua Thien Hue Province,City,South East Asia & Oceania,Viet Nam,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,National,Other: Ward/commune,4947,61-70%,1236393,2024,1342870,2030,VND Vietnamese đồng,
2025 Disclosure Cycle,779465,CDP,930257,Municipalidad de Puyo,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Gobierno Autónomo Descentralizado PARROQUIAL,19727,91-100%,82754,2022,110427,2032,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,930270,Ilustre Municipalidad de Ancud,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,1752.0,61-70%,38991.0,2017,38059,2032,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,930332,"City of Orillia, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,28.53,5-10%,36000,2024,50000.0,2050,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,930367,Municipio de Montecristi,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Parroquia,705.03,<5%,99937,2022,250989,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Gobierno Autonomo Desentralizado Parroquial,3597.02,21-30%,186687,2022,222675,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,930502,San Francisco del Rincón,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,426.0,61-70%,130871,2020,239025,2050,MXN Mexican Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,930753,Yeoncheon County,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,676.31,81-90%,41017,2025,40000,,KRW South Korean Won,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,930758,City of Srebrenik,City,Europe,Bosnia and Herzegovina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Federal district,Sub-municipal district,249,41-50%,39678,2013,12800,2026,BAM Convertible Marks,
2025 Disclosure Cycle,779465,CDP,931095,Lake District National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park,County / Province,Town,2362.58,61-70%,41310.0,2022,36006,,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,931104,City of Leh,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Town,State / regional,No lower level of government,17.43,21-30%,30870.0,2011,64217.0,2047,INR Indian Rupee,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,931111,South Downs National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Federal district,1648,71-80%,135824,2023,135824,2026,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2011429,Municipality of Belsh,City,Europe,Albania,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,196.442,21-30%,34609,2024,34700,,ALL Lek,
2025 Disclosure Cycle,779465,CDP,2012299,Warwick District Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,County / Province,Town,284.89,I do not have this data,148500,2021,156970,2031,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2012301,Broads National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: Statutory Body with equivalent status to a National Park Authority,County / Province,Town,303,5-10%,6275,2021,,,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2012303,Dartmoor National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park Authority,County / Province,Town,954,91-100%,37252,2021,,,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2012305,Exmoor National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park Authority,Other: ,Other: ,693,91-100%,9868,2022,9800,2026,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2012306,Loch Lomond and the Trossachs National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park Authority,National,Town,1865,91-100%,14782,2022,14344,2028,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2012307,New Forest National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,State / regional,National,Town,571,61-70%,34400,2022,34400,2026,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2012308,North York Moors National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park Authority,Metropolitan area,Other: Parish Council,144.11,91-100%,23035,2021,22935,2031,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2012309,Northumberland National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park Authority,County / Province,Town,1050,91-100%,1857,2023,1837,2026,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2012310,Peak District National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park Authority,County / Province,Other: Parish Council,1444,61-70%,40936,2021,32097,2026,GBP Pound Sterling,
