disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,35848,Municipality of Belo Horizonte,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,331.354,21-30%,2315560,2022,2415872,2026,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,National,City / Municipality,25.437,71-80%,5864049,2024,6000000,2030,TRY New Turkish Lira,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Independent city / municipality,State / regional,No lower level of government,238.5,21-30%,568271,2024,625140.0,2045,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,National,City / Municipality,771.31,51-60%,3319413,2025,3111904,2030,KRW South Korean Won,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35857,"City of Cincinnati, OH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,206.0,21-30%,314915,2024,343612.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,2445.49,61-70%,4837094,2023,6539984,2050,ZAR South African Rand,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,201.24,5-10%,367523,2023,368262,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,881.9,31-40%,1304379,2022,1704996.0,2045,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,35862,"City of Detroit, MI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,370.18,31-40%,639111,2024,733104,2040,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,City/Municipality,City / Municipality,2580.0,61-70%,4184944.0,2022,5575702,2050,ZAR South African Rand,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,County / Province,Town,1975,71-80%,4006691,2022,4543660.0,2030,ZAR South African Rand,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,312.353,11-20%,2428708,2022,3100000,2040,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,State / regional,City / Municipality,3265.46,31-40%,5243392,2020,6726438.0,2050,MXN Mexican Peso,CRF Complete level
