disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Use of carbon credits,col2_Identify target,col3_Emissions purchased/sold (metric tonnes CO2e),col4_Verified to which standard,col5_Outline the crediting period and country(ies)/area(s) where offsetting efforts are or will be taking place,col6_Comment
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions purchased from outside of the boundary,Target 1,3320217,"Other: limate Action Reserve, Verified Carbon Standard/Verra",VY 2003 - 2022 in the US.,None
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",2,Row 2,Other: Offset credit transactions generated within the City and applied against our inventory.,Target 1,26182.0,Do not know,VY 2003 - 2009 in the US.,None.
2025 Disclosure Cycle,779465,CDP,18078,Swale Borough Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",2,Row 2,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,N/A
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Other: Carbon sequestration projects,Target 1,143000,Not yet verified,"PERCENTAGES AND EMISSIONS SAVED ARE ESTIMATES ONLY. Staff anticipate that transitioning to 100 per cent renewable energy before 2050 will result in carbon pollution being reduced by approximately 75 per cent from 2007 levels in 2040, and more than 95 per cent in 2050. That potentially leaves as much as 5% of the city-wide emissions target that will have to be met using carbon removals of some sort. Our actual targets are still to be determined, so this 5% serves as an estimate only for the purposes of responding to this question. ",None
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,n/a
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,No confidence in the verification of ofsetting provided by external organisations any ofsetting e.g. tree planting is carried out on land within the City's boundaries or on land which the City Council owns.
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,We do not use carbon credits 
2025 Disclosure Cycle,779465,CDP,31054,Belfast City Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,This is something that is currently being explored with a number of other councils across the region. It is a collaborative piece of work that will link in with the Belfast 1 million trees programme.\nFurther work has been completed that estimates costs to the city of carbon credits.
