disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),10.6,1.2,0,4.5,0.9,0.3,0.0,82.2,0,0.3,2024,100.00,Freight mode share as share of trips (%),0.0,0.0,99.3,0.0,0.7,0.0,0.0,2015,100.00,"Passenger mode share data is from NZ MoT household travel survey data (by trip 2023-2024 for Auckland). Public transport data is from Auckland Transport. Freight mode share data (in million tonnes) from “National Freight Demand Study 2014” (tables 4.4-4.6, 2012 data for within Auckland). Vehicles (LGV+MGV+HGV) account for 99.3%"
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),15.2,14,0.5,23.2,3.4,0.0,3.7,32.1,0,7.9,2024,100.00,,,,,,,,,,,These figures are derived from the Wellington Transport Survey 2024. Supporting data is available in the spreadsheet in Section 11.1 (Further Information).
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),12.71,1.72,0,6.04,9.15,0.58,10.24,59.57,0,0.0,2024,100.01,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,This data is for 2024
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11,27,0,19,12,0.0,0,30,0,1.0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,The mode share data for Malmö does not separate private cars and taxis/other shared vehicles. Taxi cars and other shared vehicles are therefor included in the data for private motorized transport. Micromobility is accounted for in the \'Other\' cathegory. https://utveckling.skane.se/siteassets/publikationer/resvaneundersokning-2023-korrekt.pdf
2025 Disclosure Cycle,779465,CDP,43970,Alcaldía Distrital de Barranquilla,City,Latin America,Colombia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30.28,2.39,0.05,23.63,,,4.35,25.66,12.91,,2024,99.27,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,44076,Bursa Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,44080,City of Kitakyushu,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),9.4,2.4,2,26.6,10.8,0.0,1.3,47,0,0.5,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"This was written as of 2023, and the distribution rates of freight transportation modes have not been investigated."
2025 Disclosure Cycle,779465,CDP,44181,Gwangju Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),31.8,1.1,0,13.2,1.3,0,7.2,44.6,0,0.8,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,출처: 2023 국가교통통계(국토교통부)
2025 Disclosure Cycle,779465,CDP,44184,Ulsan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),31.9,1.6,0.0,9.3,0.1,0.0,5.7,48.0,,3.4,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,울산의 연도별 교통수단 분담률(%) 최신자료(2022년) 적용
2025 Disclosure Cycle,779465,CDP,44185,Suwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),20.8,0.0,0.0,21.0,7.9,0.0,5.1,34.3,0,10.9,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,수단별 분담률 총합 100%
2025 Disclosure Cycle,779465,CDP,44187,Goyang City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),0.1,3.1,0.1,15.8,15.1,0,1.0,58.4,0,6.5,2021,100.10,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"In the data presented in the table, items marked with '0.1' indicate that there is no separate measurement data available and are included under 'Other' as a lump sum(ex: walking, e-scooting).\n \nMost of people in our city travel by self vehicles. like bicyle, automobile or cars. Recently, it is also believed that government subsidies for electric vehicle purchases have an impact on the increased in personal transportation modes.\n\nhttps://gits.gg.go.kr/gtdb/web/trafficDb/travelShare/travelShareByWay.do\n\n This dataset is updated every five years, so the value is the same as last year.\n"
2025 Disclosure Cycle,779465,CDP,44188,Yongin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,44191,Ansan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),22.1,2.3,0,11.7,7.9,0.0,5.0,49.2,0,1.8,2020,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,ㅇ 자료출처 : 제4차 안산시 지방대중교통 계획(2023년)\n- 대중교통수단별 수송실적 및 이용실태 현황의 수단별 통행자료(2020년기준) \n※ 기타의 자료는 화물분야를 포함한 기타 승객수송분담률로 작성
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),16.6,1.5,0,22.3,0,0,3.1,52.2,2.3,2,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,This data is based on the 2024 Jeonju Sustainable Development Report.
2025 Disclosure Cycle,779465,CDP,44196,Hwaseong City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,44205,Gwangmyeong City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Source: Regional StatisticsPlane : Electric bus gradually expanding
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),37.0,9.0,26.0,11.0,0.0,0.0,0.0,11.0,0,6.0,2016,100.00,Freight mode share as share of trips (%),0.0,36.0,44.0,19.0,0.0,0.0,1.0,2016,100.00,"Based on Report of Ahmedabad Traffic Management and Information Control Centre, Ahmedabad - November 2016"
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),51,8.0,0.0,7.0,3.0,0.0,1.0,29.0,0,1.0,2019,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Resultados de reparto modal obtenidos en la Encuesta de Movilidad de Vitoria-Gasteiz de 2019.https://www.vitoria-gasteiz.org/docs/wb021/contenidosEstaticos/adjuntos/es/96/70/89670.pdf
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),45,2.88,5.02,16.6,5.5,0,1.78,23.18,0,0,2024,99.96,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,La información se recoge del avance del diagnóstico del plan urbano de seguridad vial de la ciudad de Zaragoza. Los datos correspondientes al tranvía no está incluidos en el valor correspondiente a autobuses
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11.4,2.4,0.0,13.6,15.3,0.0,0,54.1,0,3.2,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Data retrieved from Population and Housing Census 2021 - https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0012371&contexto=bd&selTab=tab2 
2025 Disclosure Cycle,779465,CDP,49172,"City of St. Petersburg, FL",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),2.1,1.2,0,1,0,0,1.1,73.2,0,21.4,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Data is from the American Community Survey (ACS)
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),13.1,1.64,0.0,16.02,0.0,0.07,0.56,68.61,0,0.0,2017,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Les données concernant la micro mobilité ne sont pas comptabilisées, de même que celles pour le transport par autocar interurbain, par train (peu développé au Québec) et par aéronef. Les données ont été calculées à partir de la plus récente enquête origine-destination qui touche la région métropolitaine dont les résultats détaillés sont disponibles (tableau à la page 162): https://www.transports.gouv.qc.ca/fr/ministere/Planification-transports/enquetes-origine-destination/quebec/2017/Documents/EOD17_sommaire.pdf"
2025 Disclosure Cycle,779465,CDP,49327,"City of Providence, RI",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),8,1,0,2,1,,2,0,8,79,2022,101.00,,,,,,,,,,,Source: Providence Comprehensive Plan (2024)\n\nDriving alone = 62% \nWorking from home = 17%
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),4.5,0,0.0,0.65,0.0,0.0,0.0,94.85,0,0.0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Data about mode share is from Google Insights. It is not as detailed as we would like it to be, but we are exploring other sources for more information."
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),2,0.4,0,1.8,,0,1.4,71.7,0,9.7,2023,87.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Work from home is 13% but do not see that category. The \'Other\' 9.7% is carpool. Sourced from US Census Bureau for Jefferson County, latest available year 2023.\n"
2025 Disclosure Cycle,779465,CDP,49334,"City of Richmond, VA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),4.4,3.2,12,6.4,0,0,2,80.3,0,3.8,2022,112.10,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,data confirmed by transit Equity and GRTC\n
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),1.9,0.3,0,1.6,0,0,1.4,76.5,0,18.3,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Based on 2023 5-year ACS values for Davidson County commute trips of residents (Means of transportation to work). Out of county commuters not represented and non-work trips not represented. 18.3% \'Other\' = Worked from home (no travel)\n\nhttps://data.census.gov/table/ACSST5Y2023.S0801?g=050XX00US47037
2025 Disclosure Cycle,779465,CDP,49342,"City of Rochester, NY",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,49345,"City of Birmingham, AL",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),3,1,1,5,1,0,4,80,5,,2021,100.00,,,,,,,,,,,
