disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of population that is food insecure,col3_Percentage of population that lives in a food desert,col4_Comment
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,35,,"2023-2024 District of Columbia Food Access & Food Economy Report for Fiscal Year 2024, prepared by the Food Policy Council and Office of\nPlanning: https://dcfoodpolicy.org/reports/food-system-assessment/\n\nThe report includes information on the state of the local food economy and food access across the District, as well as recommendations based on lessons learned from within the District and across the country. "
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,31.7,0.0,"City of Melbourne's Social Indicator Survey (CoMSIS) 2025 reveals 47 per cent of survey respondents* reported having experienced food insecurity within the last 12 months, similar to the previous year's figure of 48 per cent. In 2025 we saw a decrease in the number of people reporting accessing food relief services from 26% to 19%. However, the last two years has seen a significant increase in the proportion of people experiencing food insecurity, with many households facing the cost-of-living crisis in Australia. \nConsistent with previous years, a closer look at the 2025 CoMSIS survey results indicates that certain population groups are at greater risk of experiencing food insecurity compared to the general City of Melbourne population, including: \n• Younger adults aged 18-24 years (51.8 per cent) and young single households (57.7 per cent).\n• Students (57.4 per cent)**, in particular international students (64.5%).\n• Carlton and Parkville, suburbs with strong student representation.\n• Less economically advantaged groups such as low-income households (less than $64,999).\n• People living in public housing (68.2 per cent) and renters (58.9 per cent).\n• Linguistically diverse people who speak a language other than English at home (53.6%).\n*In 2025, Students were included in the catchment of this question. In previous years only Residents were asked food security questions.\n** Student defined as anyone attending an education institution."
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,Information not available at the moment. Further informations may be available in the future.
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,5.8,,Hunger Map (FAO)\n2022-2024\nPrevalence of moderate or severe food insecurity in the total population (percent) (3-year average)\nhttps://www.fao.org/interactive/hunger-map/en/\n\n東京都個別のデータはなかったため、日本の人口に対する食糧不安の割合を掲載している。\nThe percentage of people suffering from food insecurity in relation to Japan's population is indicated as data specific to Tokyo was not available.
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,"In Kaohsiung, we have a rice assistance program. The recipients of the program include registered low-income and middle-to-low-income households, elderly individuals living alone, economically disadvantaged households, single-parent households facing financial difficulties, individuals with disabilities, and other vulnerable groups. Therefore, there are no precise statistics available regarding the population that is food insecure/lives in a food desert."
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,0.0,,自治体では入手不可能なデータ
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,11,0,"As part of the City of Sydney's 2023 Community Wellbeing Survey, 11% of respondents indicated that if they had run out of food in the previous year, they would not be able to afford to buy more. The wellbeing survey is updated every 3-5 years."
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,34,,"A study by Rudolph et al., published in the Journal of Food Security (2021), found that 34% of Johannesburg households are food insecure, rising to 50-75% in poorer and informal areas (about 2.2 million people). Vulnerable groups include women, youth, large households, and the unemployed, with diets dominated by starch and sugar, underscoring the urgent need for food security interventions. There are no specific statistics available that quantify the number of people living in \'food deserts\' in Johannesburg, but research indicates that poor urban areas are disproportionately affected by a lack of access to nutritious food"
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,24.1,0.0,"In 2022, 24.1% of households in Toronto experienced food insecurity. This means that nearly one in four households in the city struggled to afford the food they needed. This rate represents a significant increase from 18.6% in 2021. Food insecurity affected one in four (24.9%) Toronto households in 2023.\nIn 2017, almost one in five (18.5 percent) Toronto households experienced marginal, moderate, or severe food insecurity, which is significantly higher than the provincial average of 14.1 percent (Ontario, excluding Toronto). \n\nFood Insecurity in Toronto https://www.toronto.ca/city-government/accountability-operations-customer-service/long-term-vision-plans-and-strategies/poverty-reduction-strategy/food-security-in-toronto-poverty-reduction-strategy/\n\n 2024 - Declaring Food Insecurity an Emergency - by Mayor Olivia Chow, seconded by Councillor Rachel Chernos-Lin https://www.toronto.ca/legdocs/mmis/2024/mm/bgrd/backgroundfile-251743.pdf\n\nFOOD INSECURITY IN TORONTO 2022 https://www.toronto.ca/wp-content/uploads/2023/06/999f-9892-DS-23-0037-Food-Insecurity-Infographic-FinalAODA.pdf\n\nData from Daily Bread and North York Harvest's member agencies Who's Hungry Report 2022 https://www.dailybread.ca/wp-content/uploads/2023/06/DB-WhosHungryReport-2022-Digital-1.pdf\n\n Explosive inflation and rising food prices - Canada hit a 5% inflation rate in 2022, with Ontario food prices rising 5-7%, the steepest increase in over a decade, unaffordable housing costs record-high rents up to 20% per year in some areas meant many households paid over 30% of income on housing, low and insecure income employment no longer guaranteed food security: around 60% of food-insecure households relied on wages, but many had precarious or gig work, unstable hours, and low pay, systemic Inequalities - newcomers, particularly recent immigrants and international students faced barriers like credential recognition, limited income, and were over-represented among food bank users , COVID-19 aftershocks and supply chain disruptions have exacerbated food insecurity in Toronto, with new records being set for food bank usage on a regular basis in 2022\n\nSee the TORONTO VITAL SIGNS REPORT 2023 https://torontofoundation.ca/research-reports-on-toronto/\n\nStatistics Canada (fed) https://www.statcan.gc.ca/o1/en/plus/6257-canadians-are-facing-higher-levels-food-insecurity"
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,,,,(74.9%) food insecurity in Addis Ababa. The results are considerably higher than the national food insecurity (35%) reported by the Ethiopian Health and Nutrition Research Institute in 2009https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-14-680
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,6.5,0,"The proportion of the population experiencing moderate or severe food insecurity, of which 1.4% experience severe insecurity (SDG indicator 2.1.2). Data provided upon request from ELSTAT for the Region of Attica, according to the FIES global standard scale and as derived from the Survey of Household Income and Living Conditions (SILC), year 2023, with a period income report in the year 2022. Their national report can be found at the following link: https://www.statistics.gr/documents/20181/2b5895aa-131f-63c6-9a01-50a78d61828d "
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,-
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,13.9,2.8,"DANE - Escala de Experiencia de Inseguridad Alimentaria 2024 \n\nhttps://www.dane.gov.co/index.php/estadisticas-por-tema/salud/escala-de-experiencia-de-inseguridad-alimentaria-fies\n\nDe acuerdo con el documento referenciado, para el porcentaje de la población que padece de inseguridad alimentaria se toma el reporte de la prevalencia de la inseguridad alimentaria moderada o grave en hogares.\nPara el porcentaje de población que vive en un desierto alimentario se toma el reporte de la prevalencia de inseguridad alimentaria grave."
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,6.5,,Corresponde a datos del informe \'Condiciones de vida en la Ciudad de Buenos Aires: indigencia y pobreza por ingresos y estratificación. 4to. trimestre de 2024\' publicado por el Instituto de Estadísticas y Censos
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,19.2,9.7,"Conforme dados extraídos da PNAD contínua pelo IPPUC (Instituto de Pesquisa e Planejamento Urbano de Curitiba) temos os seguintes resultados para a população de Curitiba quanto à insegurança alimentar:\nInsegurança Alimentar Leve: 15.4%\nInsegurança Alimentar Moderada: 2,2%\nInsegurança Alimentar Grave: 1.6%\n\nhttps://www.curitiba.pr.gov.br/noticias/curitiba-e-a-capital-destaque-em-seguranca-alimentar-diz-jornal/77606#:~:text=Segundo%20levantamento%20do%20Minist%C3%A9rio%20do,50%25%20em%20cidades%20como%20Manaus.%20e%20https://ippuc.org.br/storage/uploads/ef893f0f-09b0-43e0-9711-7f80c099c1ca/Relat%C3%B3rio-T%C3%A9cnico_Os-caminhos-da-comida.pdf\n"
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,"In September 2021, the Istanbul Food Strategy Document was published. You can access the relevant document from the link below;https://tarim.ibb.istanbul/img/1551435102021__7928277850i.pdf"
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,0,,
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,0.0,,no comment
