disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,12.5,Up to 10% of income spent on energy services,"O indicador adotado para estimar a pobreza energética em Curitiba é a percentagem de famílias dentro do limite da jurisdição que enfrentam pobreza energética, considerando como critério que uma família esteja em pobreza energética quando mais de 10% da sua renda é comprometida com gastos de energia, incluindo eletricidade e combustíveis para cozinhar.\n\nCom base nas estimativas, aproximadamente 12,5% dos domicílios em Curitiba encontram-se nessa situação, o que representa cerca de 87.500 famílias afetadas. Esse valor é consistente com os dados de pobreza do município e alinhado com estudos nacionais sobre pobreza energética.\n\nFonte: \nIBGE - PNAD Contínua\nEPE / BID / Prefeitura de Curitiba"
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0,Up to 20% or more of income spent on energy services,
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,no comment
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Kemiskinan energi di Jakarta sudah tidak ada.
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"The State government is aware there is an energy deficit however some areas such as snake island can only be accessed via a ferry thus when issues arise like these, they can only rely on renewable energy. There has been no substantive study to access the energy poverty for the city however a study has been done on Lagos Informal Settlement Household Energy Survey to assess the various fuel types and energy uses by residential settlements in informal settlements.The aim of the survey is to addresss the gaps in the available city data on energy consumption patterns from cooking and electricity /lighting in informal settlements."
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No data available
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"No se disponen de datos para la Provincia de Lima, pero se espera desarrollar estudios que permitan cuantificar la pobreza energética de la ciudad.\n\nSin embrago, el Ministerio de Energía y Minas (MINEM), Lima Metropolitana ha sido priorizada en el programa social “Electricidad al toque”, destinado a hogares vulnerables que carecen de acceso a energía eléctrica. En 2024, se proyectó beneficiar a 3,456 familias en Lima mediante este programa, que financia el costo de las conexiones eléctricas domiciliarias a través del Fondo de Inclusión Social Energético (FISE)"
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,12.74,Up to 10% of income spent on energy services,"According to \'Technical study on energy poverty in the city of Madrid\' published in 2016. (The study was conducted in 2016 and the data may not reflect current situation).Document attached and also available at: https://www.madrid.es/UnidadesDescentralizadas/Consumo/NuevaWeb/pobreza%20energ%C3%A9tica/Estudio%20Pobreza%20energ%C3%A9tica%204%20febrero%202017.pdfA recent scientific research carried out by UPM-CSIC and titled \'Multidimensional index of fuel poverty in deprived neighbourhoods. Case study of Madrid\' has been published in 2020. There, the percentage of total population affected by energy poverty was estimated to be around 6,5%. Document available at: https://www.sciencedirect.com/science/article/pii/S0378778820304096"
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,46.6,"Other: Las estimaciones en la Ciudad de México se calculan a partir del Método de Medición Integrada de la Pobreza (MMIP), que considera umbrales de satisfacción de necesidades humanas y normas de acceso a derechos.","De acuerdo al informe \'Medición de la pobreza\nmultidimensional 2024\', elaborado en agosto del 2025 por el Consejo de Evaluación de la Ciudad de México, el porcentaje de la población que vive en pobreza energética. a 2022, fue de 46.6%. Este indicador reporta el grado de carencia de la población en tres indicadores: electricidad, focos y combustible para preparar o calentar alimentos.\n\nPor otro lado, en el Proyecto de Plan General de Desarrollo de la Ciudad de México 2020-2040, solo el 0.2% de la población en la Ciudad de México carece de suministro de energía eléctrica, siendo una de las entidades del país con mayor cobertura de este servicio con un 99.8%."
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,6,"Other: https://www.lombardiaquotidiano.com/post/poverta-energetica-la-mappa-del-disagio-in-lombardia/#:~:text=Nel%202021%20la%20povert%C3%A0%20energetica,la%20percentuale%20sale%20al%2049%25.","In 2024-2025 the Municipality of Milan drafted the Plan against Energy Poverty and Precariousness, called “Towards Municipal Energy Wellbeing”\nThe first action is\n1-Establishment of a municipal observatory on energy well-being, to monitor and analyse energy vulnerability and better target policies and evaluate the effectiveness of interventions. \nUsing the methodology identified (which will be further improved over time), energy poverty is recorded in approximately 6% of the population.\n"
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,3.0,Other: Up to 8% of income spent on energy services.Those people belong at the same time to the first three deciles of income per unit of consumption.,"INSEE estimates that approximately 70,000 people are in a situation of fuel poverty in Paris, meaning that they are unable to meet their basic energy needs in their homes (INSEE 2018). This problem combines three factors: low income, poor thermal quality of housing and the cost of final energy for the inhabitant. Nevertheless, the INSEE definition of fuel poverty does not take into account other forms of fuel poverty related to insufficient or inadequate heating, defective or even health-endangering ventilation, or very degraded summer comfort in housing during hot weather.The City of Paris is already working effectively to help disadvantaged households, in particular through the numerous aids that exist to support households in a situation of energy insecurity (the Fonds de Solidarité Logement, Paris Énergie Familles or the exceptional allowance of the City of Paris). In total, these different types of aid have concerned nearly 43,000 beneficiaries for a total amount of approximately €9,600,000.Beyond this financial aid, the first lever to fight against both fuel poverty and climate change is energy renovation, which helps prevent fuel poverty.The City of Paris has thus supported the renovation of more than 50,000 social housing units since 2018, representing a saving of €360 per family per year; more than 30,000 private homes have been supported in their thermal renovation, representing 55% energy savings on average.In order to go further and improve its action, the City of Paris is developing a specific program to combat fuel poverty, which will be based on a preventive component, increased support for the households concerned and the inclusion of this issue in the overhaul of municipal aid.This program is based on three simple but ambitious objectives:•To improve knowledge of the territory and the actors, in order to better act on the diverse realities of fuel poverty in Paris, in social housing as well as in private housing, for the benefit of families or isolated, elderly or young people with limited resources;•Facilitate the legibility and accessibility of aid, in order to better reach those eligible for City aid or access to energy vouchers (at the national level, 20% of energy voucher recipients do not activate it with their energy supplier). The lessons learned from the initiative to combat non-use of rights, social assistance and support systems, currently being tested in the 10th arrondissement, could usefully complement the actions in this area of the Plan. •Set up a Local Intervention Service for Energy Management (SLIME), primarily aimed at residents of working-class neighborhoods and designed to create an individualized service for people and households identified by social structures or by feedback from associations, landlords or energy suppliers.https://www.paris.fr/pages/le-slime-une-nouvelle-facon-d-alleger-la-facture-energetique-23035"
