disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of households with access to safely managed drinking water services,col3_Percentage of households with access to safely managed sanitation services,col4_Household water consumption (litres/capita/day),col5_Comment
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services,,100.0,,
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,,no comment
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,84.82,,,https://jakarta.bps.go.id/publication/2021/12/31/e0996a71944019a9ce21fdde/statistik-air-bersih-dki-jakarta-2018-2020.html
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,55,15,205.4,The data was obtained from water aid. See link to the data source below;\n\nhttps://www.wateraid.org/ng/media/wateraid-nigeria-rolls-out-project-to-improve-public-health-in-lagos-state
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,98.9,98.5,204,
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,94.1,,133.2,Sanitation water (i.e. Public sewage coverage) is based on the number of domestic water bill accounts with sewage charges levied.
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,96.1,91,,"La información puede encontrarse en el siguiente link: https://drive.google.com/drive/folders/1Z3laNC6hmmPGUw9xyQqvuO-YWJ_ZuI7g?usp=sharing\nVer página 27(2022) y 48 (2024), respectivamente. "
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,119,Average residential water consumption available at the Databank of the City Council of Madrid (year 2022).
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,98,94.8,150.0,"El Sistema de Aguas de la Ciudad de México mantiene y opera a diariamente 1,290 kilómetros de red primaria, 11,971.64 kilómetros de red secundaria, 731.42 kilómetros de acueductos y líneas de conducción, 360 tanques de almacenamiento, 267 plantas de bombeo y 63 plantas potabilizadoras. De acuerdo con la ENIGH en 2022, había 2,947,953 viviendas habitadas en la ciudad, de la cuales 2,794,026 disponían de drenaje, 2,722,715 disponían de agua entubada dentro de la vivienda, y 2,936,332 disponían de sanitario. A pesar de esos datos, dicha cobertura no garantiza el acceso al agua, un suministro continuo o un líquido de calidad para todas las personas, por lo tanto, no son indicadores precisos del goce efectivo del derecho al agua.\n\nAunque con estos datos la Ciudad de México es una con los mayores niveles de cobertura en infraestructura de abastecimiento de agua potable en México, aún existen viviendas que no están conectadas al servicio público y miles que obtienen el recurso por tandeo, con pipas (que en ocasiones su distribución no es equitativa, formal ni sustentable), por acarreo manual o mediante la compra de agua embotellada, colocándolas en una situación vulnerable, algo preocupante desde el punto de vista de la realización del derecho. El mayor porcentaje de quienes no disponen de agua entubada y deben obtenerla por los medios antes citados se presentan en el estrato de pobreza muy alta. Los datos anteriores, fueron obtenidos del Diagnóstico sobre los Derechos Humanos al Agua y al Saneamiento en la Ciudad de México, elaborado por la Instancia Ejecutora del Sistema Integral de Derechos Humanos de la Ciudad de México. Enlace para acceder al documento: https://sidh.cdmx.gob.mx/storage/app/media/Docs/Informes/2021/Diagnosticos_DH-Agua_28MAYO.pdf"
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100,100.0,201,The household water consumption (201 litres/capita/day) includes floating population (476.112 people).
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,145.0,"In order to protect the resource, preserve biodiversity, and promote renewable energies, Eau de Paris adopted a new ecological transition strategy in 2021. Centered around the concept of industrial and territorial ecology, it translates into twelve concrete objectives, including the development of sustainable agricultural sectors, the management of digital impacts, and the fight against single-use plastics.Preservation of resource quality has also been strengthened through the Eau et Climat territorial contract, signed in early 2021 with the Seine-Normandie Water Agency. An allocation of €55 million is dedicated to the preservation of groundwater resources, supporting agricultural operations in adopting practices that promote water quality. As of early 2022, 82 farms have committed to these changes, covering an area of 125 km².https://rapportannuel2021.eaudeparis.fr/"
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,99.6,96,125.3,"Para o acesso das residências à agua potável, considerou-se os domicílios atendidos por rede geral de distribuição de água, e os que possuem poços ou fontes/nascentes. \nPara o o acesso das residências ao saneamento , considerou-se os domicílios com rede de coleta de esgoto ou que possuem fossa séptica. \n"
