disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total quantity of food procured (tonnes),col2_Breakdown of procured food by food group,col3_Year data applies to,col4_Comment
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,No data available 
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,5626.551,"% of food procured by food group, by weight\n\nFruits & vegetables - 36%\nRoots/tubers - 3%\nDairy -- 26%\nRuminant meats - 2%\nPork - 1%\nPoultry - 9%\nSeafood - 1%\nEggs - 1%\nGrains - 14%\nLegumes/nuts/seeds - 4%\nVegetable oils - 1%\nTea/coffee, spices - 1%\nAdded sugars - 1%",2023,The District recently completed its baseline assessment of GHG emissions from food and beverages purchased by District Government (2025 Green Food Report here: https://doee.dc.gov/sites/default/files/dc/sites/doee/service_content/attachments/Green%20Food%20Report%202025.pdf.) The District will continue regular reporting as required under the Green Food Purchasing Amendment Act of 2021. 
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,1,U/K,2023,Data unavailable
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,data not available
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,798.69,Rice grain,2024,"Including the city's low-income households, lower-middle-income households, elderly living alone, economically disadvantaged households, single-parent disadvantaged families, people with disabilities, and other vulnerable groups."
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,不明,2021,自治体では入手不可能もしくは算出不可能なデータ
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,22.67,"Frozen meals: 8069.6 kg\nChilled meals: 8982.4 kg\nSalads: 807.8 kg\nDesserts Chilled: 1471.9 kg\nDesserts Frozen: 953.8 kg\nFrozen Soups: 1430.3 kg\nBread: 952.4 kg\nTotal: 22,668.2 kg",2024,NA
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,not applicable,2024,The data is currently unavailable.
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,3147.646,"Ruminant meats 3%\nDairy 31%\nPoultry 5%\nEggs 3%\nSeafood 2%\nPork 2%\nAnimal-based foods (misc.) 0%\nGrains 13%\nLegumes/nuts/seeds 3%\nPlant-based milk subs. 0%\nFruits & vegetables 29%\nAdded sugars 5%\nRoots/tubers 4%\nVegetable oils 2%\nAlcohol, stimulants, spices 1%",2023,"Data provided for three divisions (Senior Services and Long Term Care (SSLTC); Shelter, Support & Housing Administration (SSHA); and Children's Services (CS)) that collectively represent over 90% of food procurement budget for City of Toronto. \n\nData estimate comes from the World Resources Institute Cool Food Pledge Calculator - As calculated on January 17th, 2024\n\nMetric 1: Food purchases (boneless equivalent)\t\t\n2023 - 3,147,646 kg = 3147.646 tonnes\n\nMetric 2 + Metric 4: Total food-related carbon costs 2023 = 42,904 tCO₂e"
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,802.51,"Vegetables: 11.1% Fruit: 8.9% Dairy food: 21.9% Whole grains: 3.2% Tubers of starchy (rice, potatoes, bread etc): 22.5% Meat (Beef, Pork, Chicken) protein sources: 2.0% Egg protein sources: 0.001% Fish protein sources: 1.1% Plant-based (pulses, nut) protein sources: 8.9% Added fats: 8.6% Foods with added sugar: 11.8%",2023,Total food procured in includes quantities from the Municipal Nursery (which provides meals to babies and toddlers hosted in the municipal nursery schools) and the Centre of Reception and Solidarity of the Municipality of Athens (KYADA - which provides food and meals to people in need); school meals are offered by the state and not by the municipality; hospitals are not within the municipality's jurisdiction; there are no prisons within the municipality of Athens. Breakdown of procured food by food group is an estimation based on the type of meals offered by each municipal entity in 2020 (no updated data is available).
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,-,2024,N/A
