disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Source of jurisdiction's water supply,col2_Are you able to report volumetric data for this source?,col3_Annual volume of water withdrawn per source (in megalitres) ,col4_Projected level of change over next 5-10 years,col5_Comment
2025 Disclosure Cycle,779465,CDP,60410,Municipalidad de Peñalolén,City,Latin America,Chile,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,20330733,Much less volume projected to be withdrawn,"Actualmente se proyecta una disminución del 30% por precitaciones y anuncios del gobierno regional , actualmente también en Peñalolen contamos con una estrategia hídrica local para lograr afrontar este tema en donde tenemos medidas , proyectos y avances del 2022 hasta el 2030 que conllevan en el corto , mediano y largo plazo."
2025 Disclosure Cycle,779465,CDP,60546,Nanjing Municipal People's Government,City,China,China,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,
2025 Disclosure Cycle,779465,CDP,62171,Metropolitan Municipality of Rouen,City,Europe,France,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,31503.871,About the same volume projected to be withdrawn,Pas de commentaire particulier
2025 Disclosure Cycle,779465,CDP,62795,City of Brașov,City,Europe,Romania,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Jurisdiction does not have this data,,,,NA
2025 Disclosure Cycle,779465,CDP,63608,City of Melville,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,5846,Do not know,From Water Corporation annual report 2024 which gives metropolitan data. The number of sources of supply were calculated using the ratio of the City of Melville connections (as provided by a City of Melville specific report on water usage) to the number of metropolitan connections given in the Water Corp report.
2025 Disclosure Cycle,779465,CDP,63608,City of Melville,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Desalinated seawater,Yes,5119,Higher volume projected to be withdrawn,From Water Corporation annual report 2024 which gives metropolitan data. The number of sources of supply were calculated using the ratio of the City of Melville connections (as provided by a City of Melville specific report on water usage) to the number of metropolitan connections given in the Water Corp report.
2025 Disclosure Cycle,779465,CDP,63608,City of Melville,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (renewable),Yes,6345,Do not know,From Water Corporation annual report 2024 which gives metropolitan data. The number of sources of supply were calculated using the ratio of the City of Melville connections (as provided by a City of Melville specific report on water usage) to the number of metropolitan connections given in the Water Corp report.
2025 Disclosure Cycle,779465,CDP,63608,City of Melville,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,Other: Received from Bulk Supplier,Yes,97,Do not know,From Water Corporation annual report 2024 which gives metropolitan data. The number of sources of supply were calculated using the ratio of the City of Melville connections (as provided by a City of Melville specific report on water usage) to the number of metropolitan connections given in the Water Corp report.
2025 Disclosure Cycle,779465,CDP,63836,Vadodara Municipal Corporation,City,India,India,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,187975,Higher volume projected to be withdrawn,Total 244075.5 water will be withdrawn by 2030.\n
2025 Disclosure Cycle,779465,CDP,63836,Vadodara Municipal Corporation,City,India,India,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (non-renewable),Yes,20440,Higher volume projected to be withdrawn,Total 27119.5 water will be withdrawn by 2030.\n
2025 Disclosure Cycle,779465,CDP,63941,"Broward County, FL",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,333439.702,About the same volume projected to be withdrawn,"Based on annual pumpage data supplied by Assistant Chief Resilience Officer and Environmental Program Supervisor (GM and RS). Number was calculated by using pumpage number in million gallons per day (241.33 in pumpage MGD), multiplying by 365 to get annual, and multiplying by 3.7854118 to convert million gallons to megaliters --> 333,439.702"
2025 Disclosure Cycle,779465,CDP,73666,"Cuyahoga County, OH",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,278269.4,About the same volume projected to be withdrawn,"The Cleveland Water Department's annual water consumption for 2024 was approximately 73,511 million gallons or about 201.4 million gallons per day. \n"
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,451168,About the same volume projected to be withdrawn,"Source: South Florida Water Management District / Miami-Dade Water and Sewer Water Conservation Plan2021 Annual Report.Miami-Dade Water is sourced from the Biscayne Aquifer, a renewable groundwater source.Data is for CY2021.We expect growing demand for volume withdraw to be balanced by ambitious water conservation strategies for the foreseeable future."
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,451168.0,About the same volume projected to be withdrawn,"Source: South Florida Water Management District / Miami-Dade Water and Sewer Water Conservation Plan2021 Annual Report.Miami-Dade Water is sourced from the Biscayne Aquifer, a renewable groundwater source.Data is for CY2021.We expect growing demand for volume withdraw to be balanced by ambitious water conservation strategies for the foreseeable future."
2025 Disclosure Cycle,779465,CDP,74371,Himeji,City,Japan,Japan,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Other: 河川,Yes,365000,Less volume projected to be withdrawn,　
2025 Disclosure Cycle,779465,CDP,74371,Himeji,City,Japan,Japan,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,219000,Less volume projected to be withdrawn,　
2025 Disclosure Cycle,779465,CDP,74575,"Dane County, WI",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,33690,About the same volume projected to be withdrawn,"Dane County includes the City of Madison and 60 additional cities towns and villages; some rural residents have private wells. Lacking a way to capture all of that data, we are reporting the City of Madison's annual volume here, which represents about half of all ground water supplied in the County."
2025 Disclosure Cycle,779465,CDP,74575,"Dane County, WI",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (non-renewable),No,,,We do not have volumetric data for the cities towns and villages not served by the Madison Water Utility.
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,14636120,Less volume projected to be withdrawn,"Water supply in Antalya is primarily sourced from surface water (≈14.6 billion m³/year) and renewable groundwater (≈2.5 billion m³/year), based on DSİ 13th Regional Directorate data (2024). Due to climate change impacts and increased agricultural/urban demand, surface water use is expected to decline, while groundwater withdrawals are likely to increase in the next decade. No desalinated water is currently in use (https://webdosya.csb.gov.tr/db/ced/icerikler/antalya_-cdr2023-20241230080933.pdf)."
